query,rank,similarity_score,pmcid,title,section,matched_keywords,is_relevant
atrial fibrillation mobile health patient outcomes,1,0.909406185,PMC10029859,A Digital Infrastructure for Cardiovascular Patient Care Based on Mobile Health Data and Patient-Reported Outcomes: Concept Details of the Helios TeleWear Project Including Preliminary Experiences,introduction,"atrial fibrillation, mobile health, mhealth, patient-reported, outcomes, quality of life, telewear",TRUE
atrial fibrillation mobile health patient outcomes,2,0.907990813,PMC8475702,Patient‐Reported Outcomes and Patient‐Reported Experience of Patients With Atrial Fibrillation in the IMPACT‐AF Clinical Trial,abstract,"atrial fibrillation, outcomes, quality of life",TRUE
atrial fibrillation mobile health patient outcomes,3,0.904323339,PMC10029859,A Digital Infrastructure for Cardiovascular Patient Care Based on Mobile Health Data and Patient-Reported Outcomes: Concept Details of the Helios TeleWear Project Including Preliminary Experiences,introduction,"atrial fibrillation, mobile health, mhealth, patient-reported, outcomes, quality of life, telewear",TRUE
oncology trial enrollment barriers,1,0.912857234,PMC8860011,Barriers to patient enrolment in phase III cancer clinical trials: interviews with clinicians and pharmaceutical industry representatives,abstract,"oncology, cancer, clinical trial, barriers, patients",TRUE
oncology trial enrollment barriers,2,0.909883261,PMC11202609,Oncologist-Reported Barriers and Facilitators to Offering Cancer Clinical Trials to Their Patients,abstract,"oncology, cancer, clinical trial, barriers, patients",TRUE
oncology trial enrollment barriers,3,0.909553528,PMC11202609,Oncologist-Reported Barriers and Facilitators to Offering Cancer Clinical Trials to Their Patients,discussion,"cancer, clinical trial, enrollment, barriers, patients",TRUE
remote patient monitoring clinical benefits,1,0.951638997,PMC11759446,Clinical benefits and risks of remote patient monitoring: an overview and assessment of methodological rigour of systematic reviews for selected patient groups,abstract,"patient monitoring, clinical benefits",TRUE
remote patient monitoring clinical benefits,2,0.936778009,PMC11759446,Clinical benefits and risks of remote patient monitoring: an overview and assessment of methodological rigour of systematic reviews for selected patient groups,discussion,"patient monitoring, clinical benefits",TRUE
remote patient monitoring clinical benefits,3,0.936610579,PMC11759446,Clinical benefits and risks of remote patient monitoring: an overview and assessment of methodological rigour of systematic reviews for selected patient groups,discussion,"patient monitoring, clinical benefits, telemedicine",TRUE
clinical trial patient retention strategies,1,0.933225334,PMC11096429,Patient engagement and satisfaction with early phase cell therapy clinical trials at a tertiary inflammatory bowel disease center,introduction,"clinical trial, recruitment, participation",TRUE
clinical trial patient retention strategies,2,0.929350138,PMC9136463,Role of decentralized clinical trials in cancer drug development: Results from a survey of oncologists and patients,introduction,"clinical trial, recruitment, enrollment, participation",TRUE
clinical trial patient retention strategies,3,0.927939177,PMC10262501,Patient communication and experiences in cancer clinical drug trials: a mixed-method study at a specialist clinical trials unit,introduction,"clinical trial, recruitment",TRUE
wearable devices in cardiovascular monitoring,1,0.924327135,PMC10029859,A Digital Infrastructure for Cardiovascular Patient Care Based on Mobile Health Data and Patient-Reported Outcomes: Concept Details of the Helios TeleWear Project Including Preliminary Experiences,introduction,"wearable, cardiovascular, ecg, monitoring, mobile health, heart",TRUE
wearable devices in cardiovascular monitoring,2,0.912599802,PMC10029859,A Digital Infrastructure for Cardiovascular Patient Care Based on Mobile Health Data and Patient-Reported Outcomes: Concept Details of the Helios TeleWear Project Including Preliminary Experiences,abstract,"wearable, cardiovascular, ecg, mobile health",TRUE
wearable devices in cardiovascular monitoring,3,0.900418937,PMC10029859,A Digital Infrastructure for Cardiovascular Patient Care Based on Mobile Health Data and Patient-Reported Outcomes: Concept Details of the Helios TeleWear Project Including Preliminary Experiences,discussion,"wearable, cardiovascular, ecg, mobile health",TRUE
